MBU,C4-GUJ-01,C4-GUJ-02,C4-SKT-03,C4-GRT-04,C4-NRW-05,C4-HFZ-06,C4-WZD-07,C4-MBD-08,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11 00:00:00,0.98241392344911,0.9794820107233302,0.9859373525595658,0.99412965959487,0.987296406844616,0.9931077923672502,0.983518287037037,0.9938997893396042,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12 00:00:00,0.9752138053683543,0.9951180654479266,0.986737032613824,0.9951060020376363,0.9833805843651175,0.9935002816779338,0.9875801504629629,0.9963480632307793,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13 00:00:00,0.9768063655607396,0.9805562727524533,0.9803254931882519,0.9936189208018698,0.990639187034357,0.9926089876928411,0.984319212962963,0.9897413694558757,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-14 00:00:00,0.9937938302805138,0.9901422275641026,0.983573827111347,0.9938221225877981,0.991162616578228,0.9810756485814989,0.993662037037037,0.995141542556666,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15 00:00:00,0.9842589172570705,0.9935961488999684,0.9775129194680349,0.9890901242059212,0.9785151685694378,0.9925531215693073,0.9948005787037038,0.9918058413351624,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-16 00:00:00,0.9732756069638846,0.9839266530151947,0.9801684138358104,0.9920499595469257,0.9843672951171142,0.9875173881955278,0.9738832465277778,0.9823378404859886,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17 00:00:00,0.9669866367144749,0.9771204791864514,0.9746054309683888,0.9810731488972791,0.9917304831966554,0.986797574680765,0.9800241319444445,0.9804225251486054,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18 00:00:00,0.9687860722308623,0.9769917794396962,0.9858501231127624,0.9869573107695073,0.980374256311304,0.99065208441671,0.9789983217592593,0.9917113503494676,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19 00:00:00,0.9558821496457577,0.985306811886673,0.9827747736789337,0.9876502194953853,0.9618936592163798,0.9907622638238862,0.9789953124999999,0.9860568333986544,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20 00:00:00,0.9736379492828755,0.9689434947768281,0.9770132438369898,0.9621844472911423,0.9815353821621912,0.9889932722308892,0.9560151331018518,0.980239115879548,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
