Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,Average NAR,avrg
707,ALC3447,ALC3447__IkalGarhAlipurChat,4,C4-HFZ-06,30+31,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
708,RGA9706,RGA9706__Sadu_Goraya,3,C4-HFZ-06,9,Stand by,,1,1,1,1,0.9084104938271604,1,1,1,0.9081018518518519,1,1,1,1,1,1,0.9988811728395062,1,1,0.9607060185185186,1,1,1,1,1,1,1,1,1,1,1,1,0.9888049768518519,0.9888049768518519
709,GUJ9856,GUJ9856__S_IllyasColony,3,C4-HFZ-06,,Enfrashare,EC1-GUJ-09462,1,1,0.8784143518518519,1,1,0.39908564814814806,1,1,1,1,1,1,1,1,1,1,0.8707754629629629,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9574137731481482,0.9574137731481481
710,ALC8810,ALC8810__ChoriGali,3,C4-HFZ-06,9,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9594328703703704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9979716435185185,0.9979716435185185
711,MBI9714,MBI9714__Marri_Khurd,3,C4-HFZ-06,9,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
712,JPB4945,JPB4945__Pindibhatianrd,3,C4-HFZ-06,30+30,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9726466049382716,1,1,1,1,1,1,1,1,1,1,1,0.9986323302469137,0.9986323302469136
713,SKK3610,SKK3610__InayatpuraHafiz,3,C4-HFZ-06,9,Stand by,,0.9702662037037038,0.9913194444444444,0.9749614197530864,1,1,1,1,1,1,1,1,0.9395717592592593,0.9835108024691358,0.9662962962962963,0.9302430555555555,0.9601967592592593,0.9842592592592593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9850312499999999,0.98503125
714,KQD1726,KQD1726__S_Adda Wali MasjidWarid_295293,3,C4-HFZ-06,27,Stand by,,1,1,1,1,0.8900462962962963,1,1,1,1,1,1,1,1,1,1,1,1,0.9767939814814814,1,0.902121913580247,1,1,1,1,1,1,1,1,1,1,1,0.9884481095679012,0.9884481095679013
715,QDS9514,QDS9514__S_Mian Sahab_Riaz Hospital_QD1535,3,C4-HFZ-06,20,Stand by,,0.9586072530864197,0.9558449074074074,0.9620756172839506,0.9452739197530864,0.9422685185185186,0.9151311728395062,0.9467091049382717,0.9699074074074074,0.9798611111111111,0.9712577160493827,1,0.9673032407407407,0.9322530864197531,0.9807291666666667,0.9872106481481482,0.9214313271604938,0.9729552469135803,0.9791473765432098,0.9557291666666666,0.9931905864197531,1,1,1,1,1,1,1,1,1,1,1,0.9618443287037037,0.9618443287037037
716,SKK3103,SKK3103__SHKSukheki,3,C4-HFZ-06,20,Stand by,,1,1,0.9959490740740741,1,1,1,1,1,1,1,1,1,1,0.9631558641975309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9979552469135802,0.9979552469135803
717,QDS5492,                                  QDS35492__S_NearBilalMasjid,3,C4-HFZ-06,,Enfrashare,EC1-GUJ-01750,1,1,1,1,1,1,0.9434992283950617,1,1,1,1,1,1,1,1,0.9986882716049382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9971093750000002,0.997109375
718,RUR8824,RUR8824__LadhaWalaGUJ,3,C4-HFZ-06,30,Stand by,,0.9184799382716049,0.9709297839506172,0.9912808641975309,1,0.862866512345679,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9871778549382716,0.9871778549382717
719,SKK4727,SKK4727__KKDSukhikirailwayrd,3,C4-HFZ-06,30+30,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
720,QDS8933,QDS8933__NoorPurRdQilaDedarS,3,C4-HFZ-06,"30, 9",Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
721,QDS5748,QDS5748__S_LarriAdda,3,C4-HFZ-06,,Enfrashare,EC1-QDS-01335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
722,NVK3537,NVK3537__BaduRataRd,3,C4-HFZ-06,9,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9895833333333334,1,1,1,1,1,1,1,1,1,1,1,0.9994791666666666,0.9994791666666667
723,NVK4973,NVK4973__KarialRd,3,C4-HFZ-06,20+30,Stand by,,1,1,1,1,1,0.9408757716049383,1,1,1,1,1,1,1,1,1,1,1,0.9995756172839506,1,0.9995563271604938,1,1,1,1,1,1,1,1,1,1,1,0.9970003858024692,0.9970003858024691
724,GMW9713,GMW9713__Ghumawala,3,C4-HFZ-06,9,Stand by,,1,0.9984953703703704,0.9929783950617284,1,1,0.9516589506172839,0.9854552469135802,0.9949652777777778,1,1,1,1,1,0.9945023148148148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9959027777777777,0.9959027777777777
725,HWY9394,HWY9394_Husayki_Pindi Bhattian,3,C4-HFZ-06,20+20,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
726,KAH9974,KAH9974__Chak_Ghazi_D_new,4,C4-HFZ-06,9,Stand by,,1,1,1,1,1,0.9603298611111111,1,1,1,0.9913194444444444,1,0.9454861111111111,0.9959201388888889,0.9708912037037037,1,0.8952546296296297,0.9961371527777778,0.9546759259259259,1,0.9589120370370371,1,1,1,1,1,1,1,1,1,1,1,0.9834463252314816,0.9834463252314815
727,RUR0780,RUR0780_MangokiVirkan,3,C4-HFZ-06,9,Stand by,,0.9974729938271605,1,1,0.9604166666666667,0.9749729938271605,1,1,0.9544753086419753,1,0.9974729938271605,1,0.992457561728395,0.9777970679012346,0.9974922839506173,1,0.9974729938271605,0.9974729938271605,0.9974922839506173,1,0.9949266975308642,1,1,1,1,1,1,1,1,1,1,1,0.9919961419753086,0.9919961419753086
728,RUR5942,RUR5942__S_Tatlay Ali-KMK Warid_305407,3,C4-HFZ-06,20,Stand by,,1,1,0.9740933641975309,1,1,0.9703317901234568,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9606481481481481,1,1,1,1,1,1,1,1,1,1,1,0.9952536651234569,0.9952536651234568
729,PND1615,PND1615__P_Hussain_AbadWarid_PB1543,3,C4-HFZ-06,20,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9126543209876543,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9956327160493827,0.9956327160493826
730,KQD1725,KQD1725_S_NearmandiWarid_KD1612,3,C4-HFZ-06,20,Stand by,,1,1,1,0.9720486111111111,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9764467592592593,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9974247685185187,0.9974247685185185
731,PND1614,PND1614__P_Aqqal_wala,3,C4-HFZ-06,20,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9734953703703704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9986747685185184,0.9986747685185184
732,HJN0014,HJN0014__P_Mustafaabad,3,C4-HFZ-06,9,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
733,GUJ5481,GUJ5481__S_AwanChowk,3,C4-HFZ-06,,Enfrashare,EC1-GUJ-01755,1,1,1,1,1,0.9618634259259259,1,1,1,0.9950617283950617,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9978462577160494,0.9978462577160494
734,RUR3101,RUR3101__S_Kassesy,3,C4-HFZ-06,,Enfrashare,EC1-HFZ-00443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
735,HJN1205,HJN1205__S_Hujan_ M3_CMPAK_7058,3,C4-HFZ-06,,CM Pak,7058,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9921875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999609375,0.999609375
736,RUR6617,RUR6617_H_USF_MOT_M2_U5_Kot Sarwar Hafizabad,4,C4-HFZ-06,,Enfrashare,EUC-HFZ-08891,1,1,1,1,1,1,0.9647800925925926,1,1,1,1,1,1,1,0.9118055555555555,1,0.7564380787037037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9816511863425925,0.9816511863425926
737,RUR6618,RUR6618_H_USF_MOT_M2_U6_Nauthen Hafizabad,3,C4-HFZ-06,,Enfrashare,EUC-HFZ-08892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
738,NVK6051,NVK6051__S_KidsPlanetMontessori,3,C4-HFZ-06,,Enfrashare,EC1-GUJ-05919,1,1,1,1,1,1,1,1,1,1,1,1,0.914224537037037,1,1,1,1,1,1,0.9131828703703704,1,1,1,1,1,1,1,1,1,1,1,0.9913703703703703,0.9913703703703703
739,HWY0740,HWY0740__KotSarwar,3,C4-HFZ-06,,CM Pak,C-HWY-4440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
740,PND9055,PND9055__S_DarbarSufiMuhammadInayatHajvery,3,C4-HFZ-06,,Tawal,TWPOKR0007,1,1,1,1,1,1,1,1,0.9593171296296297,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9979658564814816,0.9979658564814815
741,JPB9368,LTE_JPB9368__S_UtilityStore,3,C4-HFZ-06,,Enfrashare,HFZ00431,1,1,1,1,1,1,0.920775462962963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9960387731481483,0.9960387731481481
742,RUR9361,RUR9361__S_ThattaKhairoMatmal,3,C4-HFZ-06,,E.Co,E.coPK001083PU,1,1,1,1,0.832025462962963,1,0.9242862654320988,1,0.8616898148148148,1,1,0.8424768518518518,1,0.9674189814814815,1,0.8050231481481481,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.961646026234568,0.9616460262345679
743,RUR9357,RUR9357__S_TatlayAali,3,C4-HFZ-06,,E.Co,E.coPK016479PU,1,0.9505208333333334,0.9258873456790123,1,1,1,1,1,1,1,1,1,0.9515625,1,1,1,1,1,0.9888310185185185,1,1,1,1,1,1,1,1,1,1,1,1,0.9908400848765432,0.9908400848765432
744,SKK8435,SKK8435__S_MarkaziImamBargah,3,C4-HFZ-06,,Enfrashare,EC1-PNB-05070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
745,QDS8414,QDS8414__S_AlliedSchool,3,C4-HFZ-06,,E.Co,e.coPK016199PU,1,1,1,1,1,1,0.8491782407407408,1,1,1,1,1,1,1,1,0.9501157407407408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9899646990740741,0.989964699074074
746,RUR8491,RUR8491__S_SaharanChatha,3,C4-HFZ-06,,E.Co,e.coPK000981PU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
747,NVK8507,NVK8507__S_GoheerRoad,3,C4-HFZ-06,,Enfrashare,EC1-GUJ-04004,1,1,0.8599845679012346,0.9764467592592593,1,1,1,1,1,1,1,1,0.8394483024691357,1,1,1,1,1,1,0.8395717592592592,1,1,1,1,1,1,1,1,1,1,1,0.9757725694444442,0.9757725694444445
748,RUR0433,RUR0433_Marali Wala,4,C4-HFZ-06,20,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9882667824074074,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994133391203703,0.9994133391203703
749,RUR8653,RUR8653__S_MangatNeech_Ufone3757,3,C4-HFZ-06,,Ufone,3757,1,1,1,1,1,1,1,1,1,1,1,0.9439236111111111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9971961805555555,0.9971961805555556
750,RUR8633,RUR8633__S_PTCLExchangeTatlayAali_GTRP2060,3,C4-HFZ-06,,PTCL,GTRP2060,1,1,0.9266203703703704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983912037037037,1,1,1,1,1,1,1,1,1,1,1,0.9955266203703704,0.9955266203703704
751,RUR1140,RUR1140__S_ChahalKalan,3,C4-HFZ-06,,ATL,ATGJW29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
752,HWY0394,HWY0394__H_PindiBhattian,3,C4-HFZ-06,"30, 30 , 31 , 31",Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
753,HFZ1525,HFZ1525__S_HafizabadCourt,3,C4-HFZ-06,,ATL,ATHFZ4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9505208333333334,1,1,1,1,1,1,1,1,1,1,1,0.9975260416666666,0.9975260416666667
754,JPB8846,JPB8846__S_FarrukhSattarRiceMills,3,C4-HFZ-06,,ATL,ATHFZ5,1,1,1,1,1,1,0.9872685185185185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999363425925926,0.999363425925926
755,RUR3933,RUR3933__S_AbidAbad,3,C4-HFZ-06,,ATL,ATGJW32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
756,ALC4371,ALC4371__S_OldTempleAlipurChatha,3,C4-HFZ-06,,Enfrashare,EC2-APR-09776,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
757,HFZ9755,HFZ9755__S_VanikeChowk,3,C4-HFZ-06,,Enfrashare,,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9879050925925926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9993952546296295,0.9993952546296296
758,RUR7159,RUR7159_S_PTCL EXCHANGE LOUDHARY ROAD,3,C4-HFZ-06,,ATL,ATP-BT3,1,1,1,1,0.9800925925925926,1,0.8628703703703704,1,1,1,1,1,1,0.9378858024691358,1,0.9265432098765432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9853695987654321,0.9853695987654321
759,RUR7008,RUR7008_S_solgin,3,C4-HFZ-06,,Enfrashare,EC1-PNB-03880,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9411805555555556,0.9341203703703704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9937650462962964,0.9937650462962964
760,RUR9493,RUR9493__S_Ghalla_Mandi_QD1595,4,C4-HFZ-06,,CP Prime,,1,1,1,1,0.9374855324074074,1,1,1,1,1,1,1,1,1,1,0.9550347222222222,1,1,0.9449508101851852,1,1,1,1,1,1,1,1,1,1,1,1,0.9918735532407409,0.9918735532407408
761,RUR1517,RUR1517__S_KotBilal,3,C4-HFZ-06,,ATL,ATGJW30,1,1,0.9325231481481482,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9966261574074075,0.9966261574074075
762,RUR2734,RUR2734__S_BhuppraGuraya,3,C4-HFZ-06,,ATL,ATHFZ4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
763,RRC0003,RRC0003__S_ChhapanwaliLahoreSargodhaRd,3,C4-HFZ-06,,E.Co,e.coPK020177PU,1,1,1,0.8581983024691358,1,1,1,1,1,1,1,1,1,1,1,1,0.9977430555555555,0.9658796296296296,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991091049382716,0.991091049382716
764,HFZ9986,HFZ9986__S_Qadirabad,3,C4-HFZ-06,,E.Co,e.coPK020223PU,0.9603973765432099,1,1,0.97875,0.860775462962963,1,0.9173649691358025,0.8654591049382716,0.9277430555555556,0.9813888888888889,0.9480864197530864,1,1,1,1,1,1,0.9702816358024692,0.8416087962962964,0.9773148148148149,1,1,1,1,1,1,1,1,1,1,1,0.961458526234568,0.9614585262345678
765,HFZ8274,HFZ8274__S_TheBestKnowledgeSchool,3,C4-HFZ-06,,E.Co,e.coPK020174PU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
766,RRC0020,RRC0020__S_NearWazirKeChatha,3,C4-HFZ-06,,Enfrashare,EC1-APC-10081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
767,RRC0024,RRC0024__S_MakkahRiceMillsHafizabadRd,3,C4-HFZ-06,,Enfrashare,EC1-HFZ-10114,1,1,1,1,1,1,0.8289351851851852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9914467592592592,0.9914467592592593
768,KQD9824,KQD9824_S_PTCLExchange,3,C4-HFZ-06,,E.Co,e.coPK020266PU,1,1,1,1,1,1,1,1,1,1,1,1,0.6340856481481482,1,1,1,0.7064158950617284,0.852199074074074,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9596350308641975,0.9596350308641974
769,RRC0038,RRC0038_S_BhoonKalan,3,C4-HFZ-06,,Tawal,TWPHFD0002,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7877777777777779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9893888888888889,0.9893888888888889
770,RRC0104,RRC0104__S_KotBhawaniDas,3,C4-HFZ-06,,ATL-,ATGJ20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
771,RUR0805,RUR0805_Cheelian_WallNEW,3,C4-MBD-08,,UFONE,3662,1,1,1,1,1,1,0.9241319444444445,1,1,1,1,1,1,1,1,1,1,1,1,0.9488811728395061,1,1,1,1,1,1,1,1,1,1,1,0.9936506558641975,0.9936506558641974
772,DNG5811,DNG5811 LTE_DNG5811_H_Lalamusa Dinga Road Dhndhala Gujrat,3,C4-MBD-08,,Enfrashare,EC1-GUT-06151,1,1,1,1,1,1,1,1,1,1,1,0.9260648148148148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9963032407407407,0.9963032407407407
773,DNG6475,DNG6475__S_Bhalesranwala,3,C4-MBD-08,,E.Co,e.coPK019002PU,1,1,0.7587037037037037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.888059413580247,1,1,1,1,1,1,1,1,1,1,1,1,0.9823381558641975,0.9823381558641975
774,RUR5763,RUR5763__S_MehmandChak,3,C4-MBD-08,,ATL,ATKHR1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985532407407407,1,1,1,0.6793441358024692,0.9930555555555556,0.9053819444444444,0.8930401234567902,1,1,1,1,1,1,1,1,1,1,1,0.97346875,0.97346875
775,MBN6234,MBN6234__S_Mandibhauddin_Bazar_1_OEMB0247,2,C4-MBD-08,,Jazz CP Prime,,0.9951099537037037,0.9916666666666667,1,0.9728877314814814,0.9923032407407407,1,1,1,0.768605324074074,0.9824942129629629,0.9825231481481481,0.9490740740740741,0.971875,1,0.9633854166666667,0.8130439814814815,1,0.9795717592592592,0.9817708333333334,1,1,1,1,1,1,1,1,1,1,1,1,0.9672155671296296,0.9672155671296296
776,RUR0507,RUR0507__ChanaufoneShrng_NEW,3,C4-MBD-08,,UFONE,3678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8842476851851852,0.9927662037037037,0.973533950617284,0.9767554012345679,1,1,1,1,1,1,1,1,1,1,1,1,0.991365162037037,0.9913651620370371
777,MIR2209,MIR2209_Dahu,3,C4-MBD-08,,GLO,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9916859567901235,1,0.9975694444444444,0.8116319444444444,1,1,1,1,1,1,1,1,1,1,1,0.9900443672839506,0.9900443672839506
778,RUR5425,RUR5425__S_SaidaShareef_CMPak5920,3,C4-MBD-08,,CM Pak,5920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
779,RUR4325,RUR4325__S_Sidh,3,C4-MBD-08,,CP Prime,,1,1,1,1,1,1,1,1,1,1,1,0.9901041666666667,1,1,1,1,1,1,0.998707561728395,1,1,1,1,1,1,1,1,1,1,1,1,0.9994405864197532,0.9994405864197531
780,RUR0506,RUR0506__Sivia,3,C4-MBD-08,,CP Prime,,0.9584490740740741,1,1,1,1,1,0.945949074074074,1,1,1,1,1,1,1,1,0.9785879629629629,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9941493055555555,0.9941493055555556
781,RUR1053,RUR1053__Bagriawala,3,C4-MBD-08,30,Stand by,,1,1,1,1,1,1,1,0.837037037037037,1,1,1,1,1,1,1,1,0.9939814814814815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991550925925926,0.991550925925926
782,CML9907,CML9907__DhokKasib,3,C4-MBD-08,20,Stand by,,1,1,0.9912615740740741,1,1,1,0.9666473765432099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9978954475308642,0.9978954475308641
783,RUR0885,RUR0885__Dhakran_Wali,3,C4-MBD-08,33,Stand by,,1,1,0.9985532407407407,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9955439814814815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9997048611111111,0.9997048611111111
784,RUR0362,RUR0362_Lala Pindi_NEW,3,C4-MBD-08,,Enfrashare,EC1-MBD-08599,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
785,MLL3347,MLL3347__Railway_Gate,4,C4-MBD-08,20,Stand by,,1,1,0.981712962962963,1,1,1,1,1,1,1,0.9962384259259259,1,1,1,1,1,0.9771122685185185,1,0.9961226851851852,1,1,1,1,1,1,1,1,1,1,1,1,0.9975593171296296,0.9975593171296296
786,RUR0182,RUR0182__Cheelian_WalNEW,3,C4-MBD-08,20Kva,Stand by,,1,1,1,1,1,1,0.8559837962962963,1,1,1,1,1,1,1,1,1,1,1,0.9972993827160493,0.9489236111111111,1,1,1,1,1,1,1,1,1,1,1,0.990110339506173,0.9901103395061729
787,RUR0794,RUR0794_Rasool_NEW,4,C4-MBD-08,9,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9568865740740741,1,1,0.9854021990740741,1,1,1,1,1,1,1,1,1,1,1,0.9971144386574073,0.9971144386574075
788,RUR4989,RUR4989__S_Mandeer,3,C4-MBD-08,,CP Prime,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998900462962963,0.9796875,1,1,1,1,1,1,1,1,1,1,1,0.9989293981481483,0.9989293981481481
789,HFQ8541,HFQ8541__1ChakThabhal,3,C4-MBD-08,9,Stand by,,0.9686149691358025,0.9839699074074074,0.9895447530864198,0.9844907407407407,0.9736882716049383,0.9793016975308642,0.9739583333333334,0.9791666666666666,0.9843942901234568,0.9845100308641975,0.9591049382716049,0.9694637345679012,0.989525462962963,0.9794753086419753,0.9845486111111111,0.9844907407407407,0.9742091049382716,0.974170524691358,0.9892554012345679,0.9792438271604939,1,1,1,1,1,1,1,1,1,1,1,0.9792563657407408,0.9792563657407407
790,NKW6994,NKW6994__Chak44MandiBahuddin,4,C4-MBD-08,31,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9979166666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9998958333333334,0.9998958333333333
791,MBN6443,MBN6443__S_GulbargTown,3,C4-MBD-08,,E.Co,e.coPK018662PU,0.9211805555555556,0.9439814814814815,0.9790316358024691,0.8567322530864199,0.8323302469135803,0.8759683641975309,0.771766975308642,0.9873649691358025,0.7792631172839506,0.9267013888888889,0.9115933641975309,0.9078703703703703,1,0.9005401234567901,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9297162422839506,0.9297162422839506
792,RUR4223,RUR4223__MohallahTahirabad,3,C4-MBD-08,20,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8910300925925926,1,0.9851466049382716,0.9962384259259259,1,1,1,1,1,1,1,1,1,1,1,1,0.9936207561728396,0.9936207561728395
793,RUR4914,RUR4914__PHADohballa,3,C4-MBD-08,20,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
794,RUR6227,RUR6227__S_SADLANWALA_MR4W4344,3,C4-MBD-08,20,Stand by,,1,1,0.9972222222222222,1,1,1,1,0.9915702160493827,1,1,1,1,1,1,1,1,1,1,0.9740547839506173,1,1,1,1,1,1,1,1,1,1,1,1,0.998142361111111,0.9981423611111111
795,RUR5301,RUR5301_H_USF_USFJH12_Dara Pur Jhelum,3,C4-MBD-08,,Enfrashare,EUN-JLM-4468,1,1,0.9847222222222223,1,1,1,1,1,1,1,1,1,1,0.8120679012345678,1,1,1,0.9953317901234567,0.927951388888889,0.976195987654321,1,1,1,1,1,1,1,1,1,1,1,0.984813464506173,0.9848134645061728
796,KHR0006,KHR0006__S_Kharian-1_MDKN2769,4,C4-MBD-08,30,Stand by,,1,1,1,1,0.978509837962963,1,1,1,0.8657262731481481,1,1,0.9996383101851852,1,1,1,1,0.8371383101851851,1,0.9521701388888889,0.8565827546296296,1,1,1,1,1,1,1,1,1,1,1,0.97448828125,0.9744882812500001
797,RUR6221,RUR6221__S_Village_Mong_MR2X3605,4,C4-MBD-08,9,Stand by,,0.9843605324074074,0.9486979166666667,0.9939236111111112,1,0.9724681712962963,1,1,1,1,1,1,1,1,1,1,1,0.9028964120370371,1,1,0.958521412037037,1,1,1,1,1,1,1,1,1,1,1,0.9880434027777778,0.9880434027777778
798,RUR1094,RUR1094__Badshahpur,4,C4-MBD-08,9,Stand by,,1,0.9593605324074074,1,1,1,1,0.9927083333333333,1,1,1,1,1,1,1,1,0.9443576388888889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9948213252314815,0.9948213252314815
