Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,Average NAR,avrg
289,GUJ0728,GUJ0728__Jagna,3,C4-GUJ-01,30,Stand by,,0.9860532407407407,0.966724537037037,0.949633487654321,1,1,0.9546296296296296,0.9319830246913581,1,1,1,1,1,1,1,1,1,0.9946759259259259,0.723360339506173,0.9645833333333333,1,1,1,1,1,1,1,1,1,1,1,1,0.973582175925926,0.973582175925926
290,SDK8856,SDK8856__H_Raja,3,C4-GUJ-01,30,Stand by,,0.33334104938271625,0.9940393518518519,1,1,1,1,1,1,1,0.9909529320987654,1,1,0.9186342592592592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9618483796296295,0.9618483796296295
291,KMK9727,KMK9727,3,C4-GUJ-01,,CP Prime,,1,1,1,1,1,1,0.9703703703703703,1,1,0.816628086419753,1,1,1,1,1,0.8695023148148148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982825038580247,0.982825038580247
292,GUJ0279,GUJ0279__SatelliteTownGujw,3,C4-GUJ-01,9,Stand by,,1,1,0.9317515432098765,0.9561921296296296,1,0.9945601851851852,1,1,1,1,0.9295524691358025,0.9939236111111112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9902989969135803,0.9902989969135803
293,AMN5917,AMN5917__S_AimanabadWarid_GJ1960,3,C4-GUJ-01,9,Stand by,,1,1,1,1,0.8239814814814814,0.7130208333333334,0.9985146604938272,0.7408950617283951,0.6666705246913581,0.9977430555555555,1,0.6882175925925926,0.6666705246913581,1,0.8401543209876543,1,1,1,0.8738888888888889,1,1,1,1,1,1,1,1,1,1,1,1,0.9004878472222222,0.9004878472222222
294,GUJ3346,GUJ3346__KachaFatomand,3,C4-GUJ-01,30,Stand by,,0.9953125,1,1,0.9953125,1,0.9953510802469135,1,1,0.9901620370370371,1,0.9549768518518519,0.9954282407407408,0.9953125,1,1,0.9905671296296297,0.9907021604938272,0.9625578703703703,1,0.9953125,1,1,1,1,1,1,1,1,1,1,1,0.9930497685185188,0.9930497685185184
295,GUJ3885,GUJ3885__ArfatColony,3,C4-GUJ-01,30,Stand by,,1,0.9669560185185185,1,1,1,1,1,1,1,1,1,0.99375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998035300925926,0.998035300925926
296,GUJ3875,GUJ3875__SialkotBypass,3,C4-GUJ-01,30,Stand by,,0.9783564814814815,0.926658950617284,0.9045987654320988,1,0.973804012345679,0.9878472222222222,0.9075810185185186,1,1,1,0.9335725308641976,0.8480439814814814,1,1,1,1,0.9845486111111111,0.6668094135802469,0.823167438271605,0.9832175925925926,1,1,1,1,1,1,1,1,1,1,1,0.9459103009259259,0.9459103009259259
297,GUJ0785,GUJ0785__BhuttaMktGujw,3,C4-GUJ-01,30,Stand by,,1,1,1,0.9668788580246913,0.9972800925925925,1,1,0.9205054012345679,1,1,0.9349151234567901,1,1,1,0.9411651234567902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9880372299382716,0.9880372299382717
298,HWY3362,HWY3362__GUJMoreAimnabad,3,C4-GUJ-01,27,Stand by,,0.9434799382716049,0.8084143518518518,0.9910493827160494,0.9412808641975309,0.9558063271604939,0.9514467592592593,0.9611882716049382,0.9190817901234568,1,1,0.9048225308641975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9688285108024692,0.9688285108024691
299,GUJ3339,GUJ3339__AmnaHospitalGuj,3,C4-GUJ-01,30,Stand by,,0.9954282407407408,1,1,0.9952932098765432,1,0.9952546296296296,1,1,0.9898726851851852,1,0.9953125,0.995408950617284,0.9513117283950617,1,1,0.9903935185185185,0.9906828703703704,0.9600694444444444,0.9889467592592592,0.9041666666666667,1,1,1,1,1,1,1,1,1,1,1,0.9876070601851851,0.9876070601851852
300,GUJ4143,GUJ4143__Khokharki,3,C4-GUJ-01,27,Stand by,,1,1,1,1,1,0.9832175925925926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9991608796296296,0.9991608796296296
301,GUJ9995,GUJ9995__Bank_Colony,3,C4-GUJ-01,9,Stand by,,0.9765432098765432,0.9599922839506173,1,0.9493248456790123,0.9849922839506173,0.9667824074074074,0.9782214506172839,1,0.9782793209876544,0.9892361111111111,0.861466049382716,0.968287037037037,0.9009645061728395,0.9934413580246914,0.9785763888888889,0.9395061728395062,0.944212962962963,0.9263117283950617,0.9812885802469136,0.9592978395061729,1,1,1,1,1,1,1,1,1,1,1,0.9618362268518521,0.9618362268518519
302,GUJ3065,GUJ3065__MuhammadiTown,3,C4-GUJ-01,20,Stand by,,1,1,1,1,0.9097453703703703,1,1,1,1,1,1,1,1,0.9936149691358025,1,0.9825810185185185,0.5259143518518519,0.6438001543209877,0.9116126543209877,0.8879359567901235,1,1,1,1,1,1,1,1,1,1,1,0.942760223765432,0.9427602237654321
303,GUJ5522,GUJ5522_H_Near Aroop Mor Gujranwala,3,C4-GUJ-01,,Enfrashare,EC1-GUJ-05009,0.8247685185185185,1,0.9569444444444445,1,0.9780671296296296,0.9097106481481481,0.8928703703703703,1,1,1,1,1,1,1,0.9607986111111111,0.726886574074074,0.9443904320987655,0.8859027777777778,0.9271836419753087,0.9879436728395061,1,1,1,1,1,1,1,1,1,1,1,0.9497733410493826,0.9497733410493828
304,GUJ3945,GUJ3945__SethiPlaza,3,C4-GUJ-01,9,Stand by,,0.7067939814814816,0.19800925925925894,0.8630092592592592,1,0.922337962962963,0.9552662037037037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9322708333333333,0.9322708333333333
305,AMN3902,AMN3902__GUJAimnabadCity,3,C4-GUJ-01,30,Stand by,,1,1,1,1,1,0.9661072530864198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998305362654321,0.998305362654321
306,GUJ5712,GUJ35712__S_KohloWala,3,C4-GUJ-01,,Enfrashare,EC1-GUJ-02524,1,1,0.8078510802469135,1,1,0.893287037037037,1,1,1,0.9887731481481481,1,1,1,1,1,1,0.7638888888888888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9726900077160494,0.9726900077160494
307,GUJ9464,GUJ9464__S_Chicherwali Warid_MDGJ4218,3,C4-GUJ-01,30,Stand by,,1,1,1,1,0.9034567901234568,1,1,1,1,1,1,1,1,1,1,1,1,0.7336496913580246,0.6680941358024692,0.9672993827160494,1,1,1,1,1,1,1,1,1,1,1,0.9636250000000001,0.963625
308,KMK5925,KMK5925__S_Mandiala RD-KMK Warid_IK1566,3,C4-GUJ-01,30,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,0.9933256172839506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9996662808641975,0.9996662808641975
309,GUJ0727,GUJ0727__MuhammadiTown,3,C4-GUJ-01,27,Stand by,,1,0.9903356481481481,1,1,0.9098263888888889,1,0.8953703703703704,1,1,0.9474189814814815,1,0.940721450617284,1,1,1,0.9876350308641976,0.9009259259259259,0.9842206790123457,0.9526813271604938,1,1,1,1,1,1,1,1,1,1,1,1,0.9754567901234568,0.9754567901234568
310,GUJ6120,GUJ6120__S_OldTown,3,C4-GUJ-01,,E.Co,e.coPK018508PU,1,0.8707986111111111,0.9824884259259259,0.7426311728395063,1,0.7068055555555555,1,1,1,1,0.7503279320987655,1,0.739837962962963,0.9912037037037037,0.5939814814814814,0.21836419753086433,0.8928819444444445,0.6683256172839507,0.9650462962962962,0.6359645061728396,1,1,1,1,1,1,1,1,1,1,1,0.8379328703703705,0.8379328703703703
311,GUJ6288,GUJ6288__S_WaniaWala,3,C4-GUJ-01,,E.Co,e.coPK018434PU,0.7533371913580247,0.9521412037037037,0.8443287037037037,0.9794367283950617,0.9243055555555555,0.8533757716049383,0.8779128086419753,1,1,1,1,1,1,1,0.9939814814814815,0.7322260802469136,1,0.9966049382716049,0.9965972222222222,0.9835416666666666,1,1,1,1,1,1,1,1,1,1,1,0.9443894675925926,0.9443894675925927
312,HMP9712,HMP9712__Kotli_Nagra,3,C4-GUJ-01,31,Stand by,,1,1,0.9951003086419753,1,1,0.9700231481481482,0.993287037037037,1,1,0.9834490740740741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9970929783950616,0.9970929783950617
313,HWY3266,HWY3266__KaliSubha,3,C4-GUJ-01,,CP Prime,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
314,GUJ9454,GUJ9454__S_OPP Jinah Park Warid_MDGJ4224,3,C4-GUJ-01,30,Stand by,,1,1,0.7720949074074075,1,0.7620447530864197,1,0.8828703703703703,1,1,0.6816435185185186,1,0.7333333333333334,1,1,1,1,0.741820987654321,1,0.7771990740740741,1,1,1,1,1,1,1,1,1,1,1,1,0.9175503472222222,0.9175503472222222
315,GUJ9999,GUJ9999__MohallIslam_Pura,3,C4-GUJ-01,30,Stand by,,1,0.9842592592592593,1,1,1,1,1,1,1,1,1,1,1,0.9810185185185185,1,1,0.9886574074074074,1,1,0.9776041666666667,1,1,1,1,1,1,1,1,1,1,1,0.9965769675925926,0.9965769675925925
316,GUJ5490,GUJ5490__T_SiddiqSadiqHospital.,1,C4-GUJ-01,,Jazz CP Prime,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
317,GUJ6380,GUJ6380__S_FeroazewalaRoadChenabParkTowerWalaBazar,3,C4-GUJ-01,,CM Pak,43037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
318,GUJ3778,GUJ3778__HondaSalesCentre,3,C4-GUJ-01,9,Stand by,,0.9858796296296296,0.9588734567901235,0.9489004629629629,1,1,1,0.9317708333333333,1,1,1,1,1,1,1,1,1,0.994386574074074,0.6938657407407408,0.9003472222222222,1,1,1,1,1,1,1,1,1,1,1,1,0.9707011959876543,0.9707011959876543
319,GUJ9463,GUJ9463__S_Canal Pasrur Rd Warid_MDGJ3790,3,C4-GUJ-01,20,Stand by,,0.9451967592592593,1,1,0.7157831790123457,0.6525115740740743,0.7702777777777777,0.7558140432098766,0.7833989197530864,0.943287037037037,0.8635223765432098,1,1,1,1,1,1,0.9532407407407407,0.6992361111111112,0.625270061728395,0.9083449074074074,1,1,1,1,1,1,1,1,1,1,1,0.8807941743827159,0.880794174382716
320,KMK5931,KMK5931__S_City Thana Warid_15253,3,C4-GUJ-01,30,Stand by,,1,1,1,1,0.9947916666666666,1,1,1,0.9910300925925926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999291087962963,0.999291087962963
321,GUJ3887,GUJ3887__ChandDaQila,3,C4-GUJ-01,30,Stand by,,1,1,0.9664351851851852,1,0.9153742283950617,1,0.9276427469135803,1,1,0.9607638888888889,0.9924768518518519,1,1,1,1,1,0.9374035493827161,1,0.9725694444444445,0.9657407407407408,1,1,1,1,1,1,1,1,1,1,1,0.9819203317901236,0.9819203317901234
322,HWY8837,HWY8837__11KMAttawaStop,5,C4-GUJ-01,30,Stand by,,1,1,1,1,0.9953240740740741,0.8333217592592593,1,1,0.9182291666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9873437500000002,0.98734375
323,RUR6526,RUR6526__S_ShrineSyedSadiqAliShah,3,C4-GUJ-01,,ATL,ATKMK2,0.9396604938271605,0.9503472222222222,0.9087268518518519,0.9435763888888888,0.9408950617283951,0.8797067901234569,0.919945987654321,0.8908757716049382,0.8679976851851852,0.9556134259259259,0.8937384259259259,0.9520833333333333,0.897596450617284,0.8796489197530865,0.9295717592592593,0.9213927469135802,0.9515817901234568,0.957079475308642,0.9472800925925926,1,1,1,1,1,1,1,1,1,1,1,1,0.9263659336419753,0.9263659336419753
324,GUJ3195,GUJ3195__BilalPura,3,C4-GUJ-01,9,Stand by,,1,1,1,1,0.9923804012345679,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9996190200617285,0.9996190200617283
