Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,TDT,T-Fuel,Occurrence ,Total NAR,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,Fuel Total,MBU,OMO Host Name,Host ID,Type
777,MIR2209,MIR2209_Dahu,3,C4-MBD-08,,GLO,,,,,,,,,,,,,,,,,,35.916666666666664,,10.5,813.7500000000001,,,,,,,,,,,,860.1666666666667,,3,0.9900443672839506,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
778,RUR5425,RUR5425__S_SaidaShareef_CMPak5920,3,C4-MBD-08,,CM Pak,5920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,CMPak,5920,Macro
779,RUR4325,RUR4325__S_Sidh,3,C4-MBD-08,,CP Prime,,,,,,,,,,,,,42.75,,,,,,,5.583333333333333,,,,,,,,,,,,,48.333333333333336,,2,0.9994405864197531,3595.316666666667,4850.650000000001,0,7329.083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
780,RUR0506,RUR0506__Sivia,3,C4-MBD-08,,CP Prime,,179.50000000000003,,,,,,233.5,,,,,,,,,92.50000000000003,,,,,,,,,,,,,,,,505.5,,3,0.9941493055555556,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
781,RUR1053,RUR1053__Bagriawala,3,C4-MBD-08,30,Stand by,,,,,,,,,704.0000000000001,,,,,,,,,26,,,,,,,,,,,,,,,730.0000000000001,,2,0.991550925925926,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
782,CML9907,CML9907__DhokKasib,3,C4-MBD-08,20,Stand by,,,,37.74999999999999,,,,144.08333333333334,,,,,,,,,,,,,,,,,,,,,,,,,181.83333333333334,,2,0.9978954475308641,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
783,RUR0885,RUR0885__Dhakran_Wali,3,C4-MBD-08,33,Stand by,,,,6.249999999999999,,,,,,,,,,,,,,19.25,,,,,,,,,,,,,,,25.5,,2,0.9997048611111111,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
784,RUR0362,RUR0362_Lala Pindi_NEW,3,C4-MBD-08,,Enfrashare,EC1-MBD-08599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,UFone,7947,Macro
785,MLL3347,MLL3347__Railway_Gate,4,C4-MBD-08,20,Stand by,,,,105.33333333333331,,,,,,,,21.666666666666668,,,,,,131.83333333333331,,22.333333333333332,,,,,,,,,,,,,281.16666666666663,,4,0.9975593171296296,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
786,RUR0182,RUR0182__Cheelian_WalNEW,3,C4-MBD-08,20Kva,Stand by,,,,,,,,622.1500000000002,,,,,,,,,,,,11.666666666666668,220.64999999999998,,,,,,,,,,,,854.4666666666668,,3,0.9901103395061729,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
787,RUR0794,RUR0794_Rasool_NEW,4,C4-MBD-08,9,Stand by,,,,,,,,,,,,,,,,,,248.33333333333337,,,84.08333333333331,,,,,,,,,,,,332.4166666666667,,2,0.9971144386574075,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
788,RUR4989,RUR4989__S_Mandeer,3,C4-MBD-08,,CP Prime,,,,,,,,,,,,,,,,,,,,4.749999999999999,87.75,,,,,,,,,,,,92.5,,2,0.9989293981481481,3595.316666666667,4850.650000000001,0,7329.083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
789,HFQ8541,HFQ8541__1ChakThabhal,3,C4-MBD-08,9,Stand by,,135.58333333333331,69.25,45.166666666666664,67,113.66666666666667,89.41666666666669,112.5,90.00000000000001,67.41666666666666,66.91666666666666,176.66666666666666,131.91666666666669,45.25,88.66666666666667,66.75,67,111.4166666666667,111.58333333333334,46.41666666666667,89.66666666666667,,,,,,,,,,,,1792.2500000000002,,20,0.9792563657407407,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
790,NKW6994,NKW6994__Chak44MandiBahuddin,4,C4-MBD-08,31,Stand by,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,12,,1,0.9998958333333333,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
791,MBN6443,MBN6443__S_GulbargTown,3,C4-MBD-08,,E.Co,e.coPK018662PU,340.5,241.99999999999997,90.58333333333334,618.9166666666663,724.3333333333335,535.8166666666665,985.9666666666667,54.58333333333334,953.5833333333333,316.65000000000003,381.91666666666663,398.0000000000001,,429.66666666666674,,,,,,,,,,,,,,,,,,6072.516666666666,,13,0.9297162422839506,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
792,RUR4223,RUR4223__MohallahTahirabad,3,C4-MBD-08,20,Stand by,,,,,,,,,,,,,,,,,470.75,,64.16666666666667,16.250000000000004,,,,,,,,,,,,,551.1666666666666,,3,0.9936207561728395,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
793,RUR4914,RUR4914__PHADohballa,3,C4-MBD-08,20,Stand by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
794,RUR6227,RUR6227__S_SADLANWALA_MR4W4344,3,C4-MBD-08,20,Stand by,,,,12,,,,,36.41666666666667,,,,,,,,,,,112.08333333333333,,,,,,,,,,,,,160.5,,3,0.9981423611111111,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
795,RUR5301,RUR5301_H_USF_USFJH12_Dara Pur Jhelum,3,C4-MBD-08,,Enfrashare,EUN-JLM-4468,,,66,,,,,,,,,,,811.8666666666669,,,,20.166666666666668,311.2499999999999,102.83333333333331,,,,,,,,,,,,1312.1166666666666,,5,0.9848134645061728,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
796,KHR0006,KHR0006__S_Kharian-1_MDKN2769,4,C4-MBD-08,30,Stand by,,,,,,123.78333333333333,,,,773.4166666666669,,,2.083333333333333,,,,,938.0833333333334,,275.5,826.0833333333333,,,,,,,,,,,,2938.95,,6,0.9744882812500001,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
797,RUR6221,RUR6221__S_Village_Mong_MR2X3605,4,C4-MBD-08,9,Stand by,,90.08333333333334,295.49999999999994,35,,158.58333333333334,,,,,,,,,,,,559.3166666666666,,,238.91666666666666,,,,,,,,,,,,1377.3999999999999,,6,0.9880434027777778,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
798,RUR1094,RUR1094__Badshahpur,4,C4-MBD-08,9,Stand by,,,234.08333333333334,,,,,42,,,,,,,,,320.5,,,,,,,,,,,,,,,,596.5833333333334,,3,0.9948213252314815,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
799,PHA5873,PHA5873_H_Hailan_Road_MDPH1531,3,C4-MBD-08,,E.Co,e.coPK016486PU,,258.4833333333333,73.91666666666664,,,,,,,,,,,,200.58333333333331,,,,,,,,,,,,,,,,,532.9833333333332,,3,0.9938312114197531,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
800,RUR0435,RUR0435_DhalDholan_NEW,3,C4-MBD-08,,Telenor,LPHR03,,,,,1486,,846.3333333333334,,,,,,,,,260.15,1333.3666666666666,22.5,,,,,,,,,,,,,,3948.3500000000004,,5,0.9543015046296296,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,Telenor,LPHR03,Macro
801,RUR1063,RUR1063__Narang,3,C4-MBD-08,13,Stand by,,,,,,,,,,,,,,,,550.25,,,,,12,,,,,,,,,,,,562.25,,2,0.9934924768518519,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
802,RUR6072,RUR6072__S_Mianwal Ranjha warid_MR4V4341,4,C4-MBD-08,9,Stand by,,,,,,,,,,,86.66666666666669,,,,,,,,,100.50000000000001,,,,,,,,,,,,,187.16666666666669,,2,0.9983752893518519,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
803,RUR6067,RUR6067__S_Bherowal warid_MDPH7511,3,C4-MBD-08,,Telenor,LBW001,,,,,,,279.33333333333337,44.75000000000001,150.41666666666666,,,,1092.1666666666667,,,,,800.55,1449.8500000000004,,,,,,,,,,,,,3817.066666666667,,6,0.9558209876543209,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,Telenor,LBW001,Macro
804,AKD2954,AKD2954__Amrakhurd,3,C4-MBD-08,,CP Prime,,,,,,,,327.25,,,,,,,,,,,,,221.16666666666669,,,,,,,,,,,,548.4166666666667,,2,0.9936525848765432,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
805,RUR6222,RUR6222__S_Mandi_bahudin_chak2_MDMB4326,3,C4-MBD-08,20,Stand by,,,,,,,,,,162.25,,,,,,45.36666666666666,758.8,1007.25,,,,,,,,,,,,,,,1973.6666666666665,,4,0.9771566358024691,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
806,MBN6538,MBN6538__S_GraveyardGurrahMohalla,3,C4-MBD-08,,Enfrashare,EC1-MBD-01786,,,10.75,,,,,,395.75,,,,,,,,199.58333333333331,,,,,,,,,,,,,,,606.0833333333333,,3,0.9929851466049382,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
807,RUR0398,RUR0398__S_Village_Nunanwali_MR2X2707,4,C4-MBD-08,,GLO,,,,,,,,,,,,,,,,1129.75,,22,,692.95,442.91666666666674,,,,,,,,,,,,2287.616666666667,,4,0.9801422164351853,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
808,RUR0505,RUR0505__Lak,3,C4-MBD-08,27,Stand by,,,,,,,211.75,80.91666666666667,,,,12.75,,,,,,,,,26.5,,,,,,,,,,,,331.9166666666667,,4,0.9961583719135803,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
809,GOW6983,GOW6983__DeraSarfana,3,C4-MBD-08,31,Stand by,,,,,,,,419.79999999999995,,,,,13.5,,,,62,,,,33,,,,,,,,,,,,528.3,,4,0.9938854166666666,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
810,HWY1732,HWY1732__Guliana,4,C4-MBD-08,27,Stand by,,,168.61666666666667,,,,,,,,,,,,,,,,18.249999999999996,,,,,,,,,,,,,,186.86666666666667,,2,0.9983778935185186,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
811,MIR2208,MIR2208__CHHIMBER,3,C4-MBD-08,30,Stand by,,,,142.5,,,,,,,,,,43.74999999999999,,75.41666666666664,5.000000000000001,61.5,,632,31.166666666666668,,,,,,,,,,,,991.3333333333333,,7,0.9885262345679012,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
812,RUR0736,RUR0736_ChemoShana,3,C4-MBD-08,9,Stand by,,,175.24999999999997,,,,,31.250000000000007,,,,,,,,,,,,,,,,,,,,,,,,,206.49999999999997,,2,0.9976099537037036,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
813,RUR6158,RUR6158__S_Adda Muna Musa Sargodha Road  warid_MR335303,4,C4-MBD-08,30,Stand by,,40.83333333333334,,,,,,4.749999999999999,,,,,,,16,,,,,,,,,,,,,,,,,,61.58333333333334,,3,0.9994654224537036,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
814,RUR4913,RUR4913__DNGMangowalKhojaVlg,3,C4-MBD-08,20,Stand by,,,31.16666666666667,,,1220.8999999999996,,62.499999999999986,844.9166666666667,,,,,,,,,26,,,,,,,,,,,,,,,2185.483333333333,,5,0.9747050540123456,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
815,GJA6164,GJA6164__S_Dairah_NazarMGondal_MandiBahaodin warid_MR335411,4,C4-MBD-08,20,Stand by,,,,86.91666666666669,,,,,,,,,,,,,,,9.333333333333332,17.750000000000004,,,,,,,,,,,,,114.00000000000001,,3,0.9990104166666667,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
816,RUR0188,RUR0188__Qadirabad_new,4,C4-MBD-08,9,Stand by,,,,,,,78.33333333333331,,,,,,,,,,308.73333333333335,,283.75,184,,,,,,,,,,,,,854.8166666666666,,4,0.9925797164351852,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
817,RUR0732,RUR0732_SalemaNEW,3,C4-MBD-08,9,Stand by,,539.3166666666668,769.9166666666669,184.15,176.99999999999994,266.25000000000006,262.16666666666663,461.4166666666666,268.75,277.4166666666667,229.49999999999997,142.75,210.91666666666666,157.5833333333333,103.25000000000001,420.66666666666634,94.25000000000001,153.74999999999997,127.75000000000003,118.5,259.4166666666667,,,,,,,,,,,,5224.716666666666,,20,0.9395287422839506,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
818,DAD6974,DAD6974__BharayWalaPhalia,4,C4-MBD-08,30,Stand by,,26,,,,,,,,,24.75,22.83333333333333,,26.91666666666667,,,,,,,,,,,,,,,,,,,100.5,,4,0.9991276041666667,3595.316666666667,4850.650000000001,5488.583333333333,3405.6666666666665,7745.433333333333,4089.8333333333326,11643.316666666666,3287.3333333333335,6902.666666666665,1686.9499999999998,4980.7,2981.733333333334,8375.966666666665,3966.8333333333335,6690.366666666667,14420.800000000001,15984.616666666665,6767.516666666667,11384.316666666664,16134.36666666667,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
