Site Code,Site Name,Cells,New MBU,Priority,DG Rating,OMO,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,TDT,T-Fuel,Occurrence ,Total NAR,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,Fuel Total,MBU,OMO Host Name,Host ID,Type
RUR6448,RUR6448__S_Nonar,3,C4-NRW-05,Platinum,,B2S,Enfrashare,EC1-NRW-04624,,,,,,,,,169.99999999999997,,,538.2500000000001,,,,519.75,1028.6333333333332,,,,,,,,,,,,,,,2256.633333333333,,4,0.9738815586419753,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-NRW-05,,,Macro
RUR4503,RUR4503__RajaThanaNarrowal,4,C4-NRW-05,Platinum,30,,,,,,,,,515.9999999999999,,,,402.24999999999994,,,,,,,51.91666666666667,121.58333333333334,160.56666666666666,326.33333333333337,,,,,,,,,,,,1578.6499999999996,,6,0.9862964409722222,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-NRW-05,,,Macro
PHA5663,PHA5663_H_Ghanian Road Phalia Mandi Bahauddin,3,C4-MBD-08,Platinum,,B2S,ATL,ATMDN5,,,,204.75,,,,,342.16666666666663,,,349.70000000000005,3365.116666666667,47.34999999999999,,,,,,,,,,,,,,,,,,4309.083333333334,,5,0.950126350308642,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
HFZ5586,HFZ5586__S_KassokiRdHFZ_CMPak40674,3,C4-HFZ-06,Platinum,,OMO,CMPak,40674,,,,,,1539.0000000000005,2753.2666666666682,,,458.3333333333332,515.8333333333333,368.8333333333333,547.7999999999998,508.5,194,258.74999999999994,220.69999999999996,215.08333333333337,261,357.5000000000001,,,,,,,,,,,,8198.6,,13,0.9051087962962963,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-HFZ-06,,,Macro
RUR8824,RUR8824__LadhaWalaGUJ,3,C4-HFZ-06,Elite,,,GLO,,352.1666666666667,125.58333333333334,37.66666666666666,,592.4166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.8333333333335,,4,0.9871778549382717,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-HFZ-06,,,Macro
RUR9476,RUR9476__S_New Abadi SKT_MDSK4187,7,C4-SKT-03,Elite,,,GLO,,414.4166666666667,,,,,,,120.99999999999999,,,,,,,,,58.583333333333336,,1109.833333333333,,,,,,,,,,,,,1703.833333333333,,4,0.9915484457671958,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-SKT-03,,,Macro
GUJ0731,GUJ0731__OldDhulayChowk,3,C4-GUJ-02,Elite,,,GLO,,,2093.3833333333328,43.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137.0499999999993,,2,0.975265625,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-02,,,Macro
RUR2762,RUR2762__Jatheke,3,C4-WZD-07,Elite,20,,,,,,237.08333333333331,,,506.33333333333326,,,,,,,,,117.33333333333334,,,,,,,,,,,,,,,,,860.7499999999999,,3,0.9900376157407408,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-WZD-07,,,Macro
RUR9471,RUR9471__S_Hir_MDSK4518,3,C4-SKT-03,Platinum,,,GLO,,,29.5,,,,,,,,,,,,,,,,,288.29999999999995,,,,,,,,,,,,,317.79999999999995,,2,0.9963217592592593,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-SKT-03,,,Macro
GJR1058,GJR1058__ModelTownGJR(Zong5218),3,C4-GRT-04,Platinum,,OMO,CMPak,C-GJT-5218,,,,,,,,,,,,,,,,,570.2499999999999,,,,,,,,,,,,,,,570.2499999999999,,1,0.9933998842592593,25409.183333333334,27050.466666666664,29322.38333333333,24979.799999999996,28177.56666666666,28696.116666666665,14469.016666666668,17927.96666666667,12216.933333333332,13373.666666666666,17598.149999999998,18424.466666666664,20760.149999999998,11901.583333333334,20600.199999999997,22501.166666666664,21308.53333333333,18479.983333333337,31927.183333333323,32526.84999999999,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,CMPAK,C-GJT-5218,Macro
RUR9984,RUR9984__S_DhamtalSankhatraRd_Warid_MDSK4336,4,C4-NRW-05,Elite,20,,,,,,,,,,1688.1499999999999,,,,,131,,61.66666666666667,,332.95000000000005,47.516666666666666,,1134.9999999999998,,,,,,,,,,,,,3396.283333333333,,6,0.9705183738425925,28046.349999999995,28907.483333333323,29947.399999999994,21038.53333333333,27157.233333333344,36100.56666666668,32910.850000000006,18900.216666666664,16157.333333333336,23390.2,20112.26666666666,17934.683333333334,23331.583333333336,17603.583333333332,15310.583333333336,23890.666666666668,42937.78333333333,28522.01666666667,36515.650000000016,40095.18333333334,0,0,0,0,0,0,0,0,0,0,0,0,C4-NRW-05,,,Macro
