Code,Vendor,BSC,Site,Sector,Occurring,Clearing,DT,SiteType,Priority,Type,Region,Sub-Region,Comm_Region,OSV,Proposed Region,Zone,MBU#,RBU,hour,minute,SiteCode,NoofCells,Outage Level,SITE,OCC,CLR,ALARM,Corelation Reason,Reason Category,Detailed Category,General,Reasons,Deodar/NonDeodar,,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 10:44:39,2026-08-01 10:59:14,14.58333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,10,44,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 11:01:09,2026-08-01 11:15:34,14.41666666666667,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,11,1,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 11:18:09,2026-08-01 11:29:09,11,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,11,18,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 11:39:04,2026-08-01 11:50:04,11,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,11,39,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 12:03:59,2026-08-01 12:47:34,43.58333333333334,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,12,3,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 12:51:49,2026-08-01 13:19:39,27.83333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,12,51,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 15:32:55,2026-08-01 15:53:35,20.66666666666667,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,15,32,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 15:57:25,2026-08-01 16:27:10,29.75,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,15,57,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 16:40:05,2026-08-01 16:52:45,12.66666666666667,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,16,40,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC26522__S_NearSaidNagar,2026-08-01 16:53:30,2026-08-01 16:57:15,3.75,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,16,53,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 16:56:05,2026-08-01 17:07:05,11,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,16,56,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 17:27:20,2026-08-01 17:37:50,10.5,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,17,27,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC26522__S_NearSaidNagar,2026-08-01 17:29:30,2026-08-01 17:37:50,8.333333333333334,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,17,29,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC16522__S_NearSaidNagar,2026-08-01 17:29:30,2026-08-01 17:37:50,8.333333333333334,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,17,29,ALC6522,3,Site,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
