Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,January TDT,January NAR,February TDT,February NAR,March TDT,March NAR,April TDT,April NAR,May TDT,May NAR,June TDT,June NAR,July TDT,July NAR,August TDT,August NAR,September TDT,September NAR,October TDT,October NAR,Nov TDT,Nov NAR,Dec TDT,Dec NAR,Jan 2026 TDT,Jan NAR,Feb 2026 TDT,Feb NAR,Mar 2026 TDT,Mar NAR,April 2026 TDT,April NAR,May 2026 TDT,May NAR,June 2026 TDT,June NAR 2026,Jul 2026 TDT,Jul NAR 2026
21,RUR0370,RUR0370__HeadKhanki_NEW,4,C4-WZD-07,,GLO,,707.5999999999999,0.9959050925925926,0,1,0,1,0,1,9069.633333333333,0.9475136959876543,1547.583333333333,0.9910440779320987,68.5,0.9996035879629629,6412.083333321226,0.9640900350956473,3248.7000000000003,0.9811996527777778,0,1,36,0.9997685185185184,0,1,604.4999999999999,0.9966145833333333,17.750000000000004,0.9998899429563493,0,1,4620.45,0.9732612847222222,552.3333333333331,0.9969067353643966,6087.25,0.9647728587962964,5047.883333333333,0.9717300440561529
22,SKT9388,SKT9388__S_KaakeWali_CMPak42996,3,C4-SKT-03,,CM-PAK,42996,0,1,0,1,0,1,0,1,1053.0333333333333,0.9918747427983539,0,1,1685,0.9869984567901234,4703.750000005822,0.9648764187574237,4545.699999999999,0.9649251543209877,12708.549999999997,0.901940200617284,22.833333333333332,0.9998042409693645,580.8333333333333,0.9956628335324572,2596.15,0.9806141726403823,15892.149999999998,0.8686164847883597,12601.766666666666,0.9059007865392275,0,1,9766.449999999999,0.9270725059737157,16289.583333333338,0.8743087705761318,4664.75,0.96516763739546
23,RUR6466,RUR6466__SakhiTelenorLHFR16,3,C4-HFZ-06,,Telenor,LHFR16,1489.25,0.9885088734567902,5827.716666666666,0.9550330504115226,3772.2166666666667,0.9708933899176955,5403.300000000001,0.9583078703703705,19618.06666666667,0.8486260288065843,6146.616666666666,0.9525724022633745,21589.7,0.8334128086419753,7920.216666666665,0.9408585971724414,1860.9166666666667,0.9856410751028807,1573.3333333333335,0.9878600823045268,3872.5333333333333,0.9667992684042066,4092.0500000000006,0.9694440710872162,9706.016666666665,0.9275237704101952,4943.200000000001,0.9591335978835979,7421.483333333334,0.9445827110712863,15285.65,0.8820551697530864,20652.90000000001,0.8457818100358422,14627.516666666668,0.887133359053498,20424.08333332874,0.8474904171645106
24,GUJ0316,GUJ0316_Thana wala Bazar,1,C4-GUJ-01,,,,182.8166666666667,0.9957681327160494,0,1,0,1,0,1,78.41666666666667,0.9981847993827161,228.8333333333334,0.9947029320987655,111.75,0.9974131944444444,267.5,0.9940076164874552,515.8333333333334,0.988059413580247,1009.2666666666667,0.9766373456790123,89.91666666666666,0.997687328532236,1264.9,0.9716644265232975,1653.5000000000005,0.962959229390681,56.333333333333336,0.9986028439153439,92.01666666666667,0.9979386947431302,438.6,0.9898472222222222,749.6833333333333,0.9832060185185185,2271.6166666666663,0.9474162808641975,4691.316666666665,0.8949077807646355
25,GUJ0318,GUJ0318__LinkKasabanMarket,1,C4-GUJ-02,,,,0,1,0,1,1668.4166666666665,0.9613792438271606,0,1,78.58333333333333,0.9981809413580247,122.5,0.9971643518518519,112.16666666666667,0.997403549382716,48.66666666666667,0.9989097968936679,134.08333333333331,0.9968962191358025,1008.7666666666667,0.9766489197530865,82.41666666666667,0.9978802297668038,34.666666666666664,0.9992234169653524,1654.4166666666665,0.9629386947431303,55.833333333333336,0.9986152447089947,0,1,62.16666666666666,0.9985609567901235,0,1,6.916666666666667,0.9998398919753086,4383.216666666665,0.9018096624850658
26,RUR1091,RUR1091__S_KotNaka_Ufone_3849,3,C4-HFZ-06,,UFONE,3849,0,1,25.75,0.999801311728395,1795.1999999999998,0.9861481481481482,1962.0333333333333,0.984860853909465,1169.916666666667,0.9909728652263374,528.8166666666666,0.9959196244855967,457.0833333333334,0.9964731224279835,726.5999999999999,0.9945743727598567,4959.9333333333325,0.9617289094650207,194.25000000000003,0.9985011574074075,120.75,0.9989647633744856,441.1500000000001,0.9967058691756273,112.41666666666667,0.9991605684986061,44.49999999999999,0.9996321097883597,1987.8999999999996,0.9851560633213858,507.0500000000001,0.9960875771604938,3344.3999999999996,0.9750268817204301,986.75,0.992386188271605,1406.7333333333333,0.9894957188371167
27,KTN9624,KTN9624__WalipurBuraNarrowal,3,C4-NRW-05,20,,,30.66666666666667,0.9997633744855967,456,0.9964814814814815,673.0833333333333,0.9948064557613169,1631.75,0.987409336419753,2979.083333333333,0.9770132458847737,773.3833333333334,0.9940325360082305,310.1666666666666,0.9976067386831275,5430.399999999999,0.9594504181600957,1417.7333333333333,0.9890606995884774,763.2500000000001,0.9941107253086421,314.9166666666667,0.9973000971650663,2043.8000000000002,0.9847386499402628,576.0833333333333,0.9956983024691358,87,0.9992807539682539,711.8333333333333,0.9946846375945839,1338.3333333333335,0.989673353909465,1165.166666666667,0.9912995320589407,735.6333333333334,0.994323816872428,678.5500000000001,0.9949331690561529
28,DSK5985,DSK5985__S_Circular RD Warid_DK5757,3,C4-WZD-07,27,,,1542.5,0.9880979938271605,917.9166666666667,0.992917309670782,99.78333333333332,0.999230066872428,670.6666666666667,0.9948251028806584,3765.9500000000007,0.9709417438271605,1796.45,0.9861385030864197,1909.5833333333333,0.9852655606995885,696.4166666499029,0.9947997560734028,2254.6333333333328,0.9826031378600822,845,0.993479938271605,1917.8,0.9835579561042525,1296.0833333333335,0.9903219583831142,1941.6666666666667,0.9855012943050577,973.3166666666666,0.9919534005731923,864.75,0.9935427867383513,1585.3666666666668,0.9877672325102881,690.9666666666667,0.9948404520111509,548.6666666666667,0.9957664609053498,1117.25,0.9916573327359618
29,RUR0372,RUR0372_KotlyLouian_New,3,C4-SKT-03,20,,,400,0.9969135802469136,161.25,0.998755787037037,266.41666666666663,0.9979443158436214,0,1,2428.333333333333,0.9812628600823046,224.41666666666663,0.9982683899176955,738.4999999999998,0.9943016975308642,2106.0999999999995,0.9842734468339307,1240.75,0.990426311728395,816.7500000000001,0.9936979166666667,537.5833333333334,0.9953910893918609,1665.0833333333335,0.9875665820390283,2291.466666666667,0.982889287136599,2218.9666666666667,0.9816553681657848,4858.316666666666,0.963722247112704,2232.416666666666,0.9827745627572017,4002.733333333333,0.9701110115491837,1267.0833333333333,0.9902231224279835,2729.616666666667,0.979617557745918
30,RUR8864,RUR8864__KotQadarBakshDistrictCourtHafizabad,3,C4-HFZ-06,9,,,869.9166666666667,0.9932876800411523,455.33333333333337,0.9964866255144033,624.5833333333334,0.9951806841563786,285.6666666666667,0.9977957818930041,1443.7000000000003,0.9888603395061729,440.66666666666663,0.9965997942386831,533.8333333333335,0.9958809156378601,730.0333333333333,0.9945487355635205,0,1,1555.416666666667,0.9879983281893004,1849.9666666666667,0.9841395176040239,3173.466666666667,0.9763032656312227,855.6833333333333,0.9936104888490641,942.75,0.9922061011904763,59,0.9995594384707287,392.8166666666667,0.996969007201646,1314.7499999999998,0.9901825716845879,723.4166666666666,0.9944180812757202,1274.6,0.9904823775388292
31,RUR0801,RUR0801__Shahzada,3,C4-NRW-05,,Enfrashare,EC1-PSR-08608,1424.4499999999998,0.9890088734567901,736.3333333333333,0.99431841563786,6165.366666666667,0.9524277263374487,608.8166666666667,0.9953023405349795,7450.633333333334,0.9425105452674898,1471.5833333333335,0.988645190329218,2008.75,0.9845003858024691,11616.916666666666,0.9132548038630028,2808.9500000000007,0.9783260030864197,1630.916666666667,0.9874157664609053,592.9166666666667,0.9949166952446273,6991.816666666666,0.9477910941855835,6795.016666666666,0.9492606282357626,619.6499999999999,0.9948772321428571,1834.750000000002,0.9862996565113501,4034.1833333333334,0.96887204218107,1741.7499999999995,0.9869941009557945,3983.733333333333,0.969261316872428,1313.95,0.9901885454002389
32,DSK5986,DSK5986__S_Moh Rajputan Warid_DK5527,3,C4-WZD-07,9,,,893.5,0.9931057098765431,2172.8999999999996,0.9832337962962963,72.58333333333333,0.9994399434156378,1522.0833333333337,0.988255529835391,2881.6166666666672,0.9777653034979424,400.28333333333336,0.9969113940329218,506.6666666666666,0.9960905349794238,105.66666666666666,0.9992109717244126,1484.5333333333335,0.9885452674897119,6.5,0.9999498456790125,1696.9,0.985451817558299,862.1333333333334,0.9935623257666267,5061.3,0.962206541218638,1532.9666666666667,0.9873266644620812,1962.75,0.9853438620071685,2392.7,0.9815378086419753,1451.1333333333332,0.9891641776184786,1136.7500000000002,0.9912287808641974,1812.9833333333333,0.9864621913580247
