SiteCode,Site Name,NoofCells,(2G/3G),Priority,Type,Category,MBU#,OMO Colocation,OMO host name ,DG site,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,Frequency,4G NAR
JPB8846,JPB8846__S_FarrukhSattarRiceMills,6,2G/LTE,Bronze,Macro,B2S,C4-HFZ-06,ATL,ATL,Non DG Site,100,100,100,100,100,100,98.530092592592,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,1,99.9265046296296
MBN6234,MBN6234__S_Mandibhauddin_Bazar_1_OEMB0247,2,2G/LTE,Bronze,Micro,Jazz CP Prime,C4-MBD-08,JAZZ,DEODAR,Non DG Site,99.777199074074,98.993055555555,100,96.973379629629,99.230324074074,100,100,100,76.5625,98.130787037037,98.096064814814,94.594907407407,96.817129629629,100,95.804398148148,81.906828703703,99.916087962963,97.916666666666,98.067129629629,100,,,,,,,,,,,,14,96.6393229166664
NRW2398,NRW2398__S_KanjroorRoad,6,2G/LTE,Bronze,Macro,B2S,C4-NRW-05,ATL,ATL,Non DG Site,80.965470679012,83.333333333333,83.333333333333,55.613425925925,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,71.146797839506,83.333333333333,87.979359567901,100,100,100,,,,,,,,,,,,17,83.95191936728365
RUR2804,RUR2804__S_Jassoran,6,2G/LTE,Bronze,Macro,B2S,C4-NRW-05,Enfra,Enfra,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.697916666666,100,100,100,100,100,,,,,,,,,,,,1,99.9348958333333
RUR2704,RUR2704__S_Chechian_Jhans,6,2G+4G+L9,Bronze,Macro,B2S,C4-GRT-04,ATL,ATL,Non DG Site,100,100,100,100,100,100,100,100,100,100,85.243055555555,100,100,100,100,100,100,100,84.041280864197,39.722222222222,,,,,,,,,,,,3,95.4503279320987
RUR2703,RUR2703__S_Ramkay,6,2G+4G+L9,Bronze,Macro,B2S,C4-GRT-04,ATL,ATL,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
ALC4371,ALC4371__S_OldTempleAlipurChatha,6,2G/LTE,Bronze,Macro,B2S,C4-HFZ-06,Enfra,Enfra,DG site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
BGA6986,BGA6986__MajhiMalakwal,3,2G/LTE,Bronze,Macro,Deodar CP Prime,C4-MBD-08,JAZZ,DEODAR,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,81.811342592592,100,100,100,100,,,,,,,,,,,,1,99.09056712962959
BGA6987,BGA6987__KhewaMandi,3,2G/LTE,Bronze,Macro,Standby,C4-MBD-08,JAZZ,DEODAR,DG site,93.096064814814,100,99.473379629629,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,2,99.62847222222214
DAD6974,DAD6974__BharayWalaPhalia,4,2G/LTE,Bronze,Macro,Standby,C4-MBD-08,JAZZ,DEODAR,DG site,100,100,100,99.984085648148,100,100,100,100,100,100,99.994212962963,100,99.965277777777,99.985532407407,100,99.984085648148,100,100,100,100,,,,,,,,,,,,5,99.99565972222214
FRP9896,FRP9896__MeluNau,3,2G/LTE,Bronze,Macro,Standby,C4-MBD-08,JAZZ,DEODAR,DG site,100,100,100,100,100,100,96.064814814814,100,100,100,100,100,100,100,100,91.93287037037,100,100,100,100,,,,,,,,,,,,2,99.3998842592592
